time;temp;rh;wd;ws;rain;pm10
2020-03-17 05:00;1.561666667;56.1;235;0.591666667;0;85.6134
2020-03-17 06:00;3.496666667;51.035;230;0.633333333;0;83.9623
2020-03-17 07:00;7.093333333;42.915;203;1.086666667;0;69.6524
2020-03-17 08:00;10.77666667;34.31833333;248;2.24;0;40.353
2020-03-17 09:00;12.37333333;32;255;2.51;0;33.5336
2020-03-17 10:00;13.92166667;30.58166667;249;2.305;0;28.7378
2020-03-17 11:00;14.98166667;30.20666667;259;2.168333333;0;19.8281
2020-03-17 12:00;15.875;30.00833333;263;2.298333333;0;26.5153
2020-03-17 13:00;16.20166667;29.75166667;259;2.651666667;0;17.2631
2020-03-17 14:00;16.65833333;29.47666667;263;2.395;0;32.1749
2020-03-17 15:00;16.36333333;31.38;250;2.421666667;0;31.8446
2020-03-17 16:00;15.165;34.99166667;257;1.348333333;0;36.2383
2020-03-17 17:00;13.72;38.87;290;0.835;0;52.0276
2020-03-17 18:00;11.83666667;44.62;274;0.816666667;0;119.11
2020-03-17 19:00;10.28166667;50.14666667;305;0.44;0;128.693
2020-03-17 20:00;8.528333333;56.26833333;267;0.426666667;0;119.312
2020-03-17 21:00;7.176666667;61.10666667;257;0.52;0;180.927
2020-03-17 22:00;6.193333333;64.99666667;268;0.523333333;0;176.894
2020-03-17 23:00;6.438333333;64.01333333;222;0.625;0;110.944
2020-03-18 00:00;6.746666667;63.085;275;0.81;0;97.0096
2020-03-18 01:00;6.58;64.16666667;236;0.725;0;97.1434
2020-03-18 02:00;6.591666667;63.93333333;239;0.58;0;99.7067
2020-03-18 03:00;6.313333333;65.14;229;0.608333333;0;103.813
2020-03-18 04:00;6.661666667;62.50666667;180;0.656666667;0;100.162
2020-03-18 05:00;7.083333333;60.56166667;218;1.058333333;0;107.61
2020-03-18 06:00;7.73;60.66833333;277;1.723333333;0;101.343
2020-03-18 07:00;9.57;57.985;279;1.695;0;75.158
2020-03-18 08:00;11.565;54.16166667;275;1.631666667;0;67.8434
2020-03-18 09:00;13.34333333;49.41333333;287;1.956666667;0;58.4807
2020-03-18 10:00;15.08333333;43.865;269;2.181666667;0;45.7547
2020-03-18 11:00;16.46;37.20666667;275;3.07;0.001666667;35.2375
2020-03-18 12:00;17.12;34.48333333;268;3.598333333;0;29.7521
2020-03-18 13:00;17.48666667;34.14333333;262;3.32;0;23.5088
2020-03-18 14:00;17.93833333;32.84833333;271;2.628333333;0;24.7653
2020-03-18 15:00;17.81333333;32.18833333;276;2.431666667;0;24.4392
2020-03-18 16:00;16.905;34.555;251;1.116666667;0;35.8224
2020-03-18 17:00;15.22833333;38.82666667;200;0.638333333;0;53.8068
2020-03-18 18:00;13.93333333;42.76;195;0.321666667;0;82.2264
2020-03-18 19:00;11.88666667;49.90833333;267;0.431666667;0;92.7997
2020-03-18 20:00;10.34666667;55.72666667;248;0.36;0;109.14
2020-03-18 21:00;9.046666667;60.51166667;269;0.398333333;0;106.861
2020-03-18 22:00;7.891666667;64.21166667;265;0.37;0;116.313
2020-03-18 23:00;6.88;67.74666667;275;0.578333333;0;123.21
2020-03-19 00:00;6.068333333;70.09;277;0.498333333;0;90.2091
2020-03-19 01:00;5.193333333;72.095;283;0.436666667;0;78.0192
2020-03-19 02:00;4.813333333;73.15;280;0.416666667;0;67.0971
